target_index,tic_id,tic_name,ads_search_query,simbad_object_query,simbad_coordinate_query,ra_deg,dec_deg,plx_mas,vmag,kmag,teff_k,lum_rel_solar,hz_inner_mas,hz_outer_mas,t_exposure_hr,n_cover,t_tot_day,recommended_next_crossmatch,literature_search_name,simbad_main_id,literature_search_aliases,mast_hip,mast_tyc,mast_gaia,mast_twomass,mast_kic
84,95473936,TIC 95473936,"""TIC 95473936""",TIC 95473936,202.10753410 13.77878971,202.1075341,13.77878971,55.8347,4.96808,3.5,5495.0,3.038417,73.86977621,176.1289091,94.5038239646165,4,15.7506373274361,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 117176,70 Vir,HD 117176 | HR 5072 | 70 Vir | HIP 65721 | TYC 898-1042-1 | Gaia DR3 3740176925743994752 | Gaia DR2 3740176925743650688 | 2MASS J13282584+1346447 | TIC 95473936,65721,0898-01042-1,3740176925743650688,13282584+1346447,
85,289622310,TIC 289622310,"""TIC 289622310""",TIC 289622310,254.00703980 65.13479616,254.0070398,65.13479616,66.28,4.8861,3.736,6314.1,2.300212393,73.85485109,169.9476281,40.5322734203343,4,6.75537890338906,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 153597,h Dra,HD 153597 | HR 6315 | h Dra | 19 Dra | HIP 82860 | TYC 4197-2429-1 | Gaia DR3 1635375460142367104 | Gaia DR2 1635375460141804800 | 2MASS J16560170+6508054 | TIC 289622310,82860,4197-02429-1,1635375460141804800,16560170+6508054,
86,27136704,TIC 27136704,"""TIC 27136704""",TIC 27136704,76.86252521 18.64504998,76.86252521,18.64504998,62.9467,4.92237,3.208,5725.0,2.40137,73.35148396,173.0564133,55.490807792268,4,9.248467965378,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 32923,m Tau,HD 32923 | HR 1656 | m Tau | 104 Tau | HIP 23835 | TYC 1286-403-1 | Gaia DR3 3407611182744289152 | Gaia DR2 3407611182744289152 | 2MASS J05072692+1838420 | TIC 27136704,23835,1286-00403-1,3407611182744289152,05072692+1838420,
87,416519065,TIC 416519065,"""TIC 416519065""",TIC 416519065,157.65658490 55.98053789,157.6565849,55.98053789,77.4346,4.82,3.644,6171.92,1.618647,72.77585557,168.4252451,22.1433450733415,4,3.69055751222358,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 90839,36 UMa,HD 90839 | HR 4112 | 36 UMa | HIP 51459 | TYC 3819-1373-1 | Gaia DR3 853819947756949120 | Gaia DR2 853819947756949120 | 2MASS J10303759+5558501 | TIC 416519065,51459,3819-01373-1,853819947756949120,10303759+5558501,
88,362747897,TIC 362747897,"""TIC 362747897""",TIC 362747897,247.11724850 -70.08439501,247.1172485,-70.08439501,82.1233,4.9,3.661,6077.96,1.361052,71.03545326,165.0385335,17.4369360267685,4,2.90615600446141,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 147584,zet TrA,HD 147584 | HR 6098 | zet TrA | HIP 80686 | TYC 9278-2951-1 | Gaia DR3 5808612830236138368 | Gaia DR2 5808612830236138368 | 2MASS J16282814-7005037 | TIC 362747897,80686,9278-02951-1,5808612830236138368,16282814-7005037,
89,289673491,TIC 289673491,"""TIC 289673491""",TIC 289673491,2.81604541 -15.46798354,2.816045411,-15.46798354,55.587,4.89,3.821,6191.75,2.996853,71.03110461,164.2542407,80.1075571304375,4,13.3512595217396,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 693,6 Cet,HD 693 | HR 33 | 6 Cet | HIP 910 | TYC 5839-1081-1 | Gaia DR3 2416611663182821120 | Gaia DR2 2416611663182555904 | 2MASS J00111587-1528043 | TIC 289673491,910,5839-01081-1,2416611663182555904,00111587-1528043,
90,11310083,TIC 11310083,"""TIC 11310083""",TIC 11310083,145.56006890 -23.91557058,145.5600689,-23.91557058,67.4693,4.93,3.722,6128.0,1.977474,70.20702534,162.7742985,37.2414226359725,4,6.20690377266207,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 84117,HD 84117,HD 84117 | HR 3862 | HIP 47592 | TYC 6602-2081-1 | Gaia DR3 5663558453071724288 | Gaia DR2 5663558453071724288 | 2MASS J09421443-2354563 | TIC 11310083,47592,6602-02081-1,5663558453071724288,09421443-2354563,
91,238115675,TIC 238115675,"""TIC 238115675""",TIC 238115675,265.85747470 -21.68319302,265.8574747,-21.68319302,58.3957,4.86,3.877,6435.0,2.700649,70.1903114,160.7587162,62.5674415046251,4,10.4279069174375,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 160915,58 Oph,HD 160915 | HR 6595 | 58 Oph | HIP 86736 | TYC 6260-2072-1 | Gaia DR3 4117290138348536064 | Gaia DR2 4117290138348536064 | 2MASS J17432580-2140593 | TIC 238115675,86736,6260-02072-1,4117290138348536064,17432580-2140593,
92,327507922,TIC 327507922,"""TIC 327507922""",TIC 327507922,25.44642976 42.61345653,25.44642976,42.61345653,76.5204,4.96103,3.577,5870.0,1.499811,70.0588847,164.2269879,23.7092358577805,4,3.95153930963008,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 10307,HD 10307,HD 10307 | HR 483 | HIP 7918 | TYC 2823-2455-1 | Gaia DR3 348515297330773120 | Gaia DR2 348515297330377856 | 2MASS J01414714+4236483 | TIC 327507922,7918,2823-02455-1,348515297330377856,01414714+4236483,
93,255854921,TIC 255854921,"""TIC 255854921""",TIC 255854921,198.56310810 -59.10323688,198.5631081,-59.10323688,55.0143,4.9,3.611,6231.44,2.966425,69.83463133,161.22778,81.597168598676,4,13.5995280997793,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 114837,HD 114837,HD 114837 | HR 4989 | HIP 64583 | TYC 8661-2282-1 | Gaia DR3 6062166950467100032 | Gaia DR2 6062166950455775232 | 2MASS J13141513-5906114 | TIC 255854921,64583,8661-02282-1,6062166950455775232,13141513-5906114,
94,229092427,TIC 229092427,"""TIC 229092427""",TIC 229092427,18.79634417 -45.53166878,18.79634417,-45.53166878,65.8894,4.97,3.782,6119.03,2.003603,69.03871653,160.1250946,40.3376178419187,4,6.72293630698645,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 7570,nu. Phe,HD 7570 | HR 370 | nu. Phe | HIP 5862 | TYC 8033-1232-1 | Gaia DR3 4934923028038871296 | Gaia DR2 4934923028038380032 | 2MASS J01151112-4531540 | TIC 229092427,5862,8033-01232-1,4934923028038380032,01151112-4531540,
95,141810080,TIC 141810080,"""TIC 141810080""",TIC 141810080,92.56030883 -74.75304544,92.56030883,-74.75304544,97.8983,5.08,3.446,5589.55,0.8655499,68.865988,163.47947,9.30792876368048,4,1.55132146061341,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 43834,alf Men,HD 43834 | HR 2261 | alf Men | HIP 29271 | TYC 9176-987-1 | Gaia DR3 5264749303462961280 | Gaia DR2 5264749303461634816 | 2MASS J06101448-7445107 | TIC 141810080,29271,9176-00987-1,5264749303461634816,06101448-7445107,
96,97402436,TIC 97402436,"""TIC 97402436""",TIC 97402436,332.53658470 -32.54840986,332.5365847,-32.54840986,54.4879,4.94,3.704,6272.0,2.917845,68.49146553,157.8695874,82.733679157222,4,13.7889465262037,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 210302,tau PsA,HD 210302 | HR 8447 | tau PsA | 15 PsA | HIP 109422 | TYC 7492-1465-1 | Gaia DR3 6612242034982766848 | Gaia DR2 6612242034982766848 | 2MASS J22100875-3232544 | TIC 97402436,109422,7492-01465-1,6612242034982766848,22100875-3232544,
97,1991380115,TIC 1991380115,"""TIC 1991380115""",TIC 1991380115,302.79974370 -36.10120932,302.7997437,-36.10120932,166.227,5.2736,3.00999999,5044.0,0.2830888,68.33025537,166.4915239,1.31342257495979,4,0.218903762493298,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 191408,HD 191408,HD 191408 | HR 7703 | HIP 99461 | TYC 7453-1391-1 | Gaia DR3 6697578465310949376 | Gaia DR2 6697578465310949376 | TIC 1991380115,,,6697578465310949376,,
98,113710966,TIC 113710966,"""TIC 113710966""",TIC 113710966,25.62401456 20.26851674,25.62401456,20.26851674,131.49,5.25221,3.285,5190.0,0.4535097,68.0279125,164.5760958,3.14890507609308,4,0.52481751268218,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 10476,107 Psc,HD 10476 | HR 493 | 107 Psc | 2 Ari | HIP 7981 | TYC 1211-1733-1 | Gaia DR3 96331172942614528 | Gaia DR2 96331172942614528 | 2MASS J01422977+2016073 | TIC 113710966,7981,1211-01733-1,96331172942614528,01422977+2016073,
99,21535479,TIC 21535479,"""TIC 21535479""",TIC 21535479,164.86655780 40.43025622,164.8665578,40.43025622,72.4528,5.03352,3.75,5872.0,1.576894,68.01257993,159.4162232,28.5897138387192,4,4.7649523064532,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",Chalawan,47 UMa,Chalawan | HD 95128 | HR 4277 | 47 UMa | HIP 53721 | TYC 3009-2703-1 | Gaia DR3 777254360337133312 | Gaia DR2 777254360337133312 | 2MASS J10592802+4025485 | TIC 21535479,53721,3009-02703-1,777254360337133312,10592802+4025485,
100,229902025,TIC 229902025,"""TIC 229902025""",TIC 229902025,226.82527450 24.86919312,226.8252745,24.86919312,51.6674,4.9255,3.863,6528.24,3.254899,67.94985338,155.08204,97.3473615597723,4,16.224560259962,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 134083,c Boo,HD 134083 | HR 5634 | 45 Boo | c Boo | HIP 73996 | TYC 2024-1355-1 | Gaia DR3 1264630412816366720 | Gaia DR2 1264630412816366720 | 2MASS J15071805+2452094 | TIC 229902025,73996,2024-01355-1,1264630412816366720,15071805+2452094,
101,284292958,TIC 284292958,"""TIC 284292958""",TIC 284292958,230.80134000 30.28784100,230.80134,30.287841,53.7,4.99314,3.714,6028.7,2.890477384,67.82273346,157.9016345,90.6022158422137,4,15.1003693070356,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HR 5727,eta CrB,HR 5727 | HR 5728 | 2 CrB | eta CrB | HIP 75312 | Gaia DR3 1276781047094217216 | 2MASS J15231232+3017162 | TIC 284292958,75312,2563-01366-1,,15231232+3017162,
102,47346402,TIC 47346402,"""TIC 47346402""",TIC 47346402,81.10609574 17.38353586,81.10609574,17.38353586,68.5628,4.99587,4.038,6136.4,1.77772,67.62335767,156.7296387,33.7034809744346,4,5.61724682907243,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 35296,111 Tau,HD 35296 | HR 1780 | 111 Tau | HIP 25278 | TYC 1300-2225-1 | Gaia DR3 3400292798990117888 | Gaia DR2 3400292798990117888 | 2MASS J05242545+1723006 | TIC 47346402,25278,1300-02225-1,3400292798990117888,05242545+1723006,
103,362661163,TIC 362661163,"""TIC 362661163""",TIC 362661163,266.03626510 -51.83405307,266.0362651,-51.83405307,64.0817,5.12,3.683,5771.56,1.898801,66.27710287,156.0399159,46.2660601916331,4,7.71101003193884,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",Cervantes,mu. Ara,Cervantes | HD 160691 | HR 6585 | mu. Ara | HIP 86796 | TYC 8355-436-1 | Gaia DR3 5945941905576552064 | Gaia DR2 5945941905576552064 | 2MASS J17440870-5150027 | TIC 362661163,86796,8355-00436-1,5945941905576552064,17440870-5150027,
104,23969522,TIC 23969522,"""TIC 23969522""",TIC 23969522,147.14738040 46.02100938,147.1473804,46.02100938,52.8994,5.08503,3.609,5872.0,2.795413,66.11599857,154.9707833,96.6499657164484,4,16.1083276194081,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 84737,15 LMi,HD 84737 | HR 3881 | 15 LMi | HIP 48113 | TYC 3433-1531-1 | Gaia DR3 821455861647126656 | Gaia DR2 821455861647126656 | 2MASS J09483533+4601155 | TIC 23969522,48113,3433-01531-1,821455861647126656,09483533+4601155,
105,359981217,TIC 359981217,"""TIC 359981217""",TIC 359981217,291.24250100 11.94441175,291.242501,11.94441175,66.848,5.17089,3.037,5587.0,1.709948,66.10102029,156.9342104,40.5315495066173,4,6.75525825110289,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 182572,b Aql,HD 182572 | HR 7373 | 31 Aql | b Aql | HIP 95447 | TYC 1063-519-1 | Gaia DR3 4315804351350378496 | Gaia DR2 4315804351350378496 | 2MASS J19245822+1156401 | TIC 359981217,95447,1063-00519-1,4315804351350378496,19245822+1156401,
106,389198736,TIC 389198736,"""TIC 389198736""",TIC 389198736,302.80022500 -36.10150700,302.800225,-36.101507,165.24,5.32,3.008,4977.19,0.259717754,65.22534724,159.450935,1.30049905908035,4,0.216749843180059,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",IRAS 20079-3614,IRAS 20079-3614,2MASS J20111207-3606063 | TIC 389198736,99461,7453-01391-1,6697578465310949376,20111207-3606063,
107,54137341,TIC 54137341,"""TIC 54137341""",TIC 54137341,117.94289400 -13.89804500,117.942894,-13.898045,59.98,5.15895,3.73,5816.81,2.05117,64.35829226,151.2178541,57.9902436717738,4,9.66504061196229,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 64096,9 Pup,HD 64096 | HR 3064 | 9 Pup | HIP 38382 | Gaia DR3 3035507276491946368 | 2MASS J07514629-1353526 | TIC 54137341,38382,5423-03227-1,,07514629-1353526,
108,437886584,TIC 437886584,"""TIC 437886584""",TIC 437886584,94.11091158 12.27216415,94.11091158,12.27216415,51.193,5.03975,4.245,6525.0,2.956507,64.17312229,146.4800254,96.5129842577848,4,16.0854973762975,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 43386,k Ori,HD 43386 | HR 2241 | k Ori | 74 Ori | HIP 29800 | TYC 739-2617-1 | Gaia DR3 3331979901042416512 | Gaia DR2 3331979901042416512 | 2MASS J06162660+1216194 | TIC 437886584,29800,0739-02617-1,3331979901042416512,06162660+1216194,
109,283722336,TIC 283722336,"""TIC 283722336""",TIC 283722336,348.32072820 57.16835459,348.3207282,57.16835459,153.081,5.56911,3.261,4884.29,0.2888785,63.94917632,157.0536824,1.75763040253961,4,0.292938400423269,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 219134,HD 219134,HD 219134 | HR 8832 | HIP 114622 | TYC 4006-1866-1 | Gaia DR3 2009481748875806976 | Gaia DR2 2009481748875806976 | 2MASS J23131692+5710059 | TIC 283722336,114622,4006-01866-1,2009481748875806976,23131692+5710059,
110,408842743,TIC 408842743,"""TIC 408842743""",TIC 408842743,297.75684900 10.41572088,297.756849,10.41572088,51.1912,5.11688,3.902,6119.81,2.834792,63.79901498,147.9675942,102.164240359752,4,17.0273733932921,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 187691,omi Aql,HD 187691 | HR 7560 | omi Aql | 54 Aql | O Aql | HIP 97675 | TYC 1062-2701-1 | Gaia DR3 4303294039306246656 | Gaia DR2 4303294039306246656 | 2MASS J19510166+1024567 | TIC 408842743,97675,1062-02701-1,4303294039306246656,19510166+1024567,
111,150796339,TIC 150796339,"""TIC 150796339""",TIC 150796339,118.06526170 -34.70544383,118.0652617,-34.70544383,54.7755,5.01,3.841,6525.0,2.536679,63.60221504,145.1768862,73.3287690144263,4,12.2214615024044,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 64379,212 Pup,HD 64379 | HR 3079 | 212 Pup | HIP 38423 | 2MASS J07521555-3442199 | TIC 150796339,38423,7127-02092-2,5593584059914156800,07521555-3442199,
112,86177169,TIC 86177169,"""TIC 86177169""",TIC 86177169,138.58557240 61.42332050,138.5855724,61.4233205,50.8675,5.19205,3.782,5910.2,2.775732,63.25522215,148.0184991,107.721684697883,4,17.9536141163138,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 79028,c UMa,HD 79028 | HR 3648 | 16 UMa | c UMa | HIP 45333 | TYC 4135-1915-1 | Gaia DR3 1040054235130174080 | Gaia DR2 1040054235130174080 | 2MASS J09142054+6125239 | TIC 86177169,45333,4135-01915-1,1040054235130174080,09142054+6125239,
113,302188141,TIC 302188141,"""TIC 302188141""",TIC 302188141,125.01608620 27.21770733,125.0160862,27.21770733,54.864,5.13228,3.868,6265.0,2.425416,62.89290624,145.0057307,75.0336255582934,4,12.5056042597156,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 69897,chi Cnc,HD 69897 | HR 3262 | chi Cnc | 18 Cnc | HIP 40843 | TYC 1936-1174-1 | Gaia DR3 683184784030475520 | Gaia DR2 683184784030475520 | 2MASS J08200385+2713038 | TIC 302188141,40843,1936-01174-1,683184784030475520,08200385+2713038,
114,287157634,TIC 287157634,"""TIC 287157634""",TIC 287157634,224.36667040 -21.41547970,224.3666704,-21.4154797,170.011,5.72,3.048,4680.94,0.2225217,62.79188726,155.7897446,1.21357132099987,4,0.202261886833312,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 131977,HD 131977,HD 131977 | HR 5568 | HIP 73184 | TYC 6180-855-1 | Gaia DR3 6232511606838403968 | Gaia DR2 6232511606838403968 | 2MASS J14572788-2124526 | TIC 287157634,73184,6180-00855-1,6232511606838403968,14572788-2124526,
115,101641846,TIC 101641846,"""TIC 101641846""",TIC 101641846,175.26256640 34.20163403,175.2625664,34.20163403,104.39,5.29853,3.588,5502.0,0.6254202,62.64139745,149.3080769,6.6906288096,4,1.1151048016,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 101501,61 UMa,HD 101501 | HR 4496 | 61 UMa | HIP 56997 | TYC 2525-2445-1 | Gaia DR3 4025850731201819392 | Gaia DR2 4025850731201819392 | 2MASS J11410301+3412064 | TIC 101641846,56997,2525-02445-1,4025850731201819392,11410301+3412064,
116,1674663308,TIC 1674663308,"""TIC 1674663308""",TIC 1674663308,271.36442590 2.49895098,271.3644259,2.498950977,195.217,5.9306,2.289999962,4360.0,0.1643303,62.62949968,157.9287473,0.78547968016179,4,0.130913280026965,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 165341B,70 Oph B,HD 165341B | 70 Oph B | TYC 434-5212-1 | Gaia DR3 4468557611977674496 | Gaia DR2 4468557611977674496 | TIC 1674663308,,,4468557611977674496,,
117,279649049,TIC 279649049,"""TIC 279649049""",TIC 279649049,49.55341079 -62.50636587,49.55341079,-62.50636587,83.0122,5.24,3.86,5866.4,1.017061,62.59591144,146.755974,15.4496476251446,4,2.57494127085743,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 20807,zet02 Ret,HD 20807 | HR 1010 | zet02 Ret | HIP 15371 | TYC 8863-1557-1 | Gaia DR3 4722135642226902656 | Gaia DR2 4722135642226356736 | 2MASS J03181281-6230230 | TIC 279649049,15371,8863-01557-1,4722135642226356736,03181281-6230230,
118,397587084,TIC 397587084,"""TIC 397587084""",TIC 397587084,199.19381730 9.42415756,199.1938173,9.424157558,57.0186,5.18799,4.033,6029.19,2.176381,62.4873057,145.4769283,66.5251160475491,4,11.0875193412582,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 115383,e Vir,HD 115383 | HR 5011 | e Vir | 59 Vir | 59 Vir A | E Vir | HIP 64792 | TYC 891-624-1 | Gaia DR3 3732539683617410816 | Gaia DR2 3732539683617410816 | 2MASS J13164653+0925269 | TIC 397587084,64792,0891-00624-1,3732539683617410816,13164653+0925269,
119,149672905,TIC 149672905,"""TIC 149672905""",TIC 149672905,116.39577900 -34.17254000,116.395779,-34.17254,65.79,5.36,3.75,5744.47,1.590634032,62.3461761,146.9631894,39.5994162348057,4,6.59990270580094,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 63077,171 Pup,HD 63077 | HR 3018 | 171 Pup | HIP 37853 | TYC 7114-2950-1 | Gaia DR3 5588607120530408832 | Gaia DR2 5588607120530408832 | 2MASS J07453500-3410226 | TIC 149672905,37853,7114-02950-1,5588607120530408832,07453500-3410226,
120,3962869,TIC 3962869,"""TIC 3962869""",TIC 3962869,12.53161911 -10.64432912,12.53161911,-10.64432912,62.9723,5.16945,4.015,6270.16,1.780543,61.8388622,142.5461255,42.8313139135146,4,7.13855231891911,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 4813,phi02 Cet,HD 4813 | HR 235 | 19 Cet | phi02 Cet | HIP 3909 | TYC 5270-1139-1 | Gaia DR3 2473608009504466688 | Gaia DR2 2473608009504466688 | 2MASS J00500759-1038394 | TIC 3962869,3909,5270-01139-1,2473608009504466688,00500759-1038394,
121,508550949,TIC 508550949,"""TIC 508550949""",TIC 508550949,262.59916620 -1.06302163,262.5991662,-1.063021631,60.7132,5.9761,3.819999933,5100.0,1.73862,61.71675215,149.9644567,61.8197849526516,4,10.3032974921086,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 158614A,HD 158614A,HD 158614A | TYC 5080-2188-1 | Gaia DR2 4373199682919087616,,,4373199682919087616,,
122,164139204,TIC 164139204,"""TIC 164139204""",TIC 164139204,262.59899910 -1.06274197,262.5989991,-1.062741967,61.19,5.31306,3.822,5641.0,1.73862,60.87845959,144.1773568,52.6721421740956,4,8.77869036234927,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 158614,HD 158614,HD 158614 | HR 6516 | HIP 85667 | Gaia DR3 4373199682919943808 | 2MASS J17302380-0103459 | TIC 164139204,85667,5080-02188-1,4373199678620639744,17302380-0103459,
123,8915802,TIC 8915802,"""TIC 8915802""",TIC 8915802,143.91459080 35.81013444,143.9145908,35.81013444,89.2581,5.39549,3.69,5499.0,0.796688,60.45897667,144.1263853,12.0419305823185,4,2.00698843038641,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 82885,11 LMi,HD 82885 | HR 3815 | 11 LMi | HIP 47080 | TYC 2500-1533-1 | Gaia DR3 798068905726303232 | Gaia DR2 798068905726303232 | 2MASS J09353959+3548366 | TIC 8915802,47080,2500-01533-1,798068905726303232,09353959+3548366,
124,307754027,TIC 307754027,"""TIC 307754027""",TIC 307754027,101.68473980 43.57742860,101.6847398,43.5774286,60.067,5.25724,4.132,6039.0,1.826735,60.28549868,140.292656,52.4597516010484,4,8.74329193350807,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 48682,psi05 Aur,HD 48682 | HR 2483 | 56 Aur | psi05 Aur | HIP 32480 | TYC 2953-1958-1 | Gaia DR3 952326504452337792 | Gaia DR2 952326504452337792 | 2MASS J06464434+4334385 | TIC 307754027,32480,2953-01958-1,952326504452337792,06464434+4334385,
125,219777482,TIC 219777482,"""TIC 219777482""",TIC 219777482,263.74831920 61.87455458,263.7483192,61.87455458,70.98,5.23181,3.744,5965.12,1.279713141,59.80067326,139.603161,27.1960181832909,4,4.53266969721515,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 160269,26 Dra,HD 160269 | HD 160269A | HR 6573 | 26 Dra | 26 Dra A | HIP 86036 | TYC 4199-1513-1 | Gaia DR3 1439121018358632832 | Gaia DR2 1439121018358632832 | 2MASS J17345954+6152290 | TIC 219777482,86036,4199-01513-1,1439121018358632832,17345954+6152290,
126,2024022192,TIC 2024022192,"""TIC 2024022192""",TIC 2024022192,336.64291710 -16.74158888,336.6429171,-16.74158888,51.5079,6.3822,4.102000237,5806.0,2.392255674,59.71233715,140.3688222,99.4075988679576,4,16.5679331446596,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",53 Aqr,53 Aqr,53 Aqr | HIP 110778 | Gaia DR2 2595463996992115840 | 2MASS J22263425-1644310 | TIC 12723528,,,2595463996992115840,,
127,246895813,TIC 246895813,"""TIC 246895813""",TIC 246895813,9.33627800 -24.76733000,9.336278,-24.76733,64.38,5.57,4.027,5249.86,1.45610853,59.54283767,143.6320345,45.7063949862656,4,7.61773249771094,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 3443,HD 3443,HD 3443 | HR 159 | HIP 2941 | 2MASS J00372057-2446023 | TIC 246895813,2941,6421-01924-1,,00372057-2446023,
128,20601206,TIC 20601206,"""TIC 20601206""",TIC 20601206,284.25681280 32.90131137,284.2568128,32.90131137,66.5742,5.21809,3.655,5997.84,1.442434,59.47054815,138.6382033,34.7298403602296,4,5.78830672670493,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 176051,HD 176051,HD 176051 | HR 7162 | HIP 93017 | 2MASS J18570156+3254050 | TIC 20601206,93017,2643-03345-1,2043885295912608512,18570156+3254050,
129,172954294,TIC 172954294,"""TIC 172954294""",TIC 172954294,150.25273660 31.92367135,150.2527366,31.92367135,66.9958,5.37988,3.821,5742.0,1.369586,58.91832072,138.898401,35.0862471841666,4,5.84770786402777,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 86728,20 LMi,HD 86728 | HR 3951 | 20 LMi A | 20 LMi | HIP 49081 | TYC 2503-1516-1 | Gaia DR3 746545172372256384 | Gaia DR2 746545172372256384 | 2MASS J10010072+3155262 | TIC 172954294,49081,2503-01516-1,746545172372256384,10010072+3155262,
130,773262373,TIC 773262373,"""TIC 773262373""",TIC 773262373,116.39549640 -34.17257877,116.3954964,-34.17257877,65.1134,5.3103,3.75,5931.0,1.469251,58.86050275,137.6106109,38.0189671831329,4,6.33649453052215,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 63077,171 Pup,HD 63077 | HR 3018 | 171 Pup | HIP 37853 | TYC 7114-2950-1 | Gaia DR3 5588607120530408832 | Gaia DR2 5588607120530408832 | 2MASS J07453500-3410226 | TIC 149672905,,,5588607120530408832,,
