target_index,tic_id,tic_name,ads_search_query,simbad_object_query,simbad_coordinate_query,ra_deg,dec_deg,plx_mas,vmag,kmag,teff_k,lum_rel_solar,hz_inner_mas,hz_outer_mas,t_exposure_hr,n_cover,t_tot_day,recommended_next_crossmatch,literature_search_name,simbad_main_id,literature_search_aliases,mast_hip,mast_tyc,mast_gaia,mast_twomass,mast_kic
50,380353415,TIC 380353415,"""TIC 380353415""",TIC 380353415,181.72040830 -64.61373064,181.7204083,-64.61373064,51.2664,4.14,3.197,6914.0,6.544465,94.40141739,212.5764767,127.964798297497,5,26.6593329786452,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 105211,eta Cru,HD 105211 | HD 105211A | HD 105211B | HR 4616 | eta Cru | eta Cru A | eta Cru B | HIP 59072 | TYC 8982-4970-1 | Gaia DR3 6053245135154609280 | Gaia DR2 6053245135151088512 | 2MASS J12065290-6436494 | TIC 380353415,59072,8982-04970-1,6053245135151088512,12065290-6436494,
51,282038438,TIC 282038438,"""TIC 282038438""",TIC 282038438,281.41551220 20.54630984,281.4155122,20.54630984,51.1282,4.20238,3.19,6330.0,6.322122,94.39404471,217.0744136,145.305185373732,5,30.2719136195275,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 173667,110 Her,HD 173667 | HR 7061 | 110 Her | HIP 92043 | TYC 1591-1918-1 | Gaia DR3 4530744134231683840 | Gaia DR2 4530744134230193280 | 2MASS J18453972+2032466 | TIC 282038438,92043,1591-01918-1,4530744134230193280,18453972+2032466,
52,239137207,TIC 239137207,"""TIC 239137207""",TIC 239137207,112.27807730 31.78487515,112.2780773,31.78487515,54.9868,4.17412,2.978,6930.61,5.653109,94.0584141,211.6902366,96.5033404877626,5,20.1048626016172,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 58946,rho Gem,HD 58946 | HR 2852 | 62 Gem | rho Gem | HIP 36366 | TYC 2452-2167-1 | Gaia DR3 892160231749198848 | Gaia DR2 892160231748668800 | 2MASS J07290671+3147043 | TIC 239137207,36366,2452-02167-1,892160231748668800,07290671+3147043,
53,262143945,TIC 262143945,"""TIC 262143945""",TIC 262143945,318.62005700 10.00698209,318.620057,10.00698209,54.11,4.48525,3.384,6299.0,5.505787019,93.33563934,214.9032691,115.697046342164,5,24.1035513212842,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 202275,del Equ,HD 202275 | HD 202275A | HR 8123 | 7 Equ | del Equ | HIP 104858 | TYC 1109-2583-1 | Gaia DR3 1743871762876699776 | Gaia DR2 1743871762876699776 | 2MASS J21142881+1000249 | TIC 262143945,104858,1109-02583-1,1743871762876699776,21142881+1000249,
54,121078878,TIC 121078878,"""TIC 121078878""",TIC 121078878,56.71203648 -23.24972143,56.71203648,-23.24972143,56.6965,4.22,3.353,6685.0,5.068327,92.5429326,210.0153536,88.1333481050939,5,18.3611141885612,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 23754,tau06 Eri,HD 23754 | HR 1173 | tau06 Eri | 27 Eri | HIP 17651 | TYC 6448-1370-1 | Gaia DR3 5087043657197267200 | Gaia DR2 5087043652900059520 | 2MASS J03465090-2314585 | TIC 121078878,17651,6448-01370-1,5087043652900059520,03465090-2314585,
55,30068122,TIC 30068122,"""TIC 30068122""",TIC 30068122,206.42185640 -33.04371735,206.4218564,-33.04371735,53.204,4.23,3.41,6802.37,5.59976,90.9336786,205.5274314,108.615946283086,5,22.6283221423095,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 119756,i Cen,HD 119756 | HR 5168 | 1 Cen | i Cen | HIP 67153 | TYC 7270-2399-1 | Gaia DR3 6171375049483037696 | Gaia DR2 6171375049482587776 | 2MASS J13454130-3302372 | TIC 30068122,67153,7270-02399-1,6171375049482587776,13454130-3302372,
56,165602000,TIC 165602000,"""TIC 165602000""",TIC 165602000,316.72474840 38.74941584,316.7247484,38.74941584,285.946,5.24004,2.248,4304.53,0.1577757,90.04557074,227.7019525,0.299819512380417,5,0.0624623984125868,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 201091,61 Cyg A,HD 201091 | HR 8085 | 61 Cyg A | HIP 104214 | TYC 3168-2800-1 | Gaia DR3 1872046609345556480 | Gaia DR2 1872046574983507456 | 2MASS J21065341+3844529 | TIC 165602000,104214,3168-02800-1,1872046574983507456,21065341+3844529,
57,114776214,TIC 114776214,"""TIC 114776214""",TIC 114776214,88.59569699 20.27624792,88.59569699,20.27624792,113.124,4.3971,2.996,5988.0,1.142209,89.95918156,209.8016635,6.46681871810111,5,1.3472538996044,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 39587,chi01 Ori,HD 39587 | HR 2047 | chi01 Ori | 54 Ori | HIP 27913 | TYC 1320-2118-1 | Gaia DR3 3399063235755057792 | Gaia DR2 3399063235753901952 | 2MASS J05542300+2016344 | TIC 114776214,27913,1320-02118-1,3399063235753901952,05542300+2016344,
58,296740796,TIC 296740796,"""TIC 296740796""",TIC 296740796,236.61089350 7.35306712,236.6108935,7.353067124,84.6121,4.4154,2.989,5901.0,2.003516,89.42444306,209.338749,20.7099383178042,5,4.31457048287587,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",HD 141004,lam Ser,HD 141004 | HR 5868 | lam Ser | 27 Ser | HIP 77257 | TYC 364-1224-1 | Gaia DR3 4430238051199001216 | Gaia DR2 4430238051199001216 | 2MASS J15462661+0721109 | TIC 296740796,77257,0364-01224-1,4430238051199001216,15462661+0721109,
59,259237827,TIC 259237827,"""TIC 259237827""",TIC 259237827,293.08995320 69.66117657,293.0899532,69.66117657,173.24,4.678,2.9,5242.0,0.434164,87.51672821,211.1920437,1.42398692368305,5,0.296663942433968,"Query MAST TIC v8 for HIP/TYC/GAIA/TWOMASS, then resolve in SIMBAD for common/HD names",Alsafi,sig Dra,Alsafi | HD 185144 | HR 7462 | sig Dra | 61 Dra | HIP 96100 | TYC 4448-2481-1 | Gaia DR3 2261614264931057664 | Gaia DR2 2261614264930275072 | 2MASS J19322153+6939413 | TIC 259237827,96100,4448-02481-1,2261614264930275072,19322153+6939413,
