ra_deg,dec_deg,plx_mas,vmag,kmag,teff_k,lum_rel_solar,id,hz_inner_mas,hz_outer_mas,t_exposure_hr,n_cover,t_tot_day
293.0899532,69.66117657,173.24,4.678,2.9,5242,0.434164,259237827,87.51672821,211.1920437,1.42398692368305,5,0.296663942433968
188.017609,-16.1959946,55.6753,4.3,3.372,6853.53,4.623329,1628071,86.32619011,194.7790008,85.3626509346681,5,17.7838856113892
260.2515604,-21.11294081,58.6019,4.39,3.067,6756,4.131667,75899957,86.16174214,195.0505865,70.8404222481411,5,14.7584213016961
41.27584767,-18.57263295,70.7449,4.47,3.249,6353.39,2.61725,326242565,83.96336948,192.9104917,35.385283561841,5,7.37193407538355
238.1689214,42.45151419,63.1627,4.61287,2.583,5805.13,3.136053,157364190,83.84053558,197.0958095,62.2873783918494,5,12.9765371649686
222.8474487,19.10045609,148.519,4.6558,2.569999933,5496,0.5531361,1101124558,83.8338583,199.8770918,2.29500933728338,5,0.47812694526737
206.8155712,17.45688614,63.8638,4.48635,3.507,6466.27,3.202412,72506701,83.49520988,191.00422,51.5650833309374,5,10.7427256939453
142.2872537,-2.76894694,56.2938,4.60406,3.56,5161,3.64765,77549389,82.69117518,200.3323048,113.947352374271,5,23.7390317446398
218.6700716,29.7451288,63.8633,4.46447,3.336,6782.21,3.181787,157966796,82.33054337,186.2102677,47.9829650089813,5,9.99645104353776
199.6013113,-18.31119762,117.573,4.6955,2.956,5562,0.8351588,422478973,81.33147417,193.3167298,5.4659127998299,5,1.1387318332979
225.947361,47.654227,78.39,4.73529,3.011,5841.92,1.921616791,283819432,81.33025763,190.8838392,25.414397706805,5,5.29466618891772
294.110555,50.22110012,54.2319,4.48994,3.537,6680.78,4.271476,27014182,81.27553233,184.4727967,92.0169788245304,5,19.1702039217772
225.9479773,47.65448026,78.0881,5.6352,3.00999999,5851,1.921616791,1102093580,80.98744273,190.0033015,25.628285734158,5,5.33922619461626
225.9467902,47.65397724,77.246,5.1361,3.00999999,5851,1.921616791,1102093577,80.11407629,187.954311,26.4272505539289,5,5.50567719873519
79.78531443,40.09905268,80.1054,4.70109,3.038,5873,1.762501,409104974,79.49537431,186.3228463,22.5746874695925,5,4.70305988949844
76.37773408,-57.47270248,86.0239,4.71,3.371,6153.02,1.466169,381949122,77.00276526,178.3459035,15.4975604394182,5,3.2286584248788
49.84040002,3.370193721,109.341,4.83858,2.957,5711.88,0.8572931,343813545,76.17006959,179.8125465,6.51056285625099,5,1.35636726171896
235.2974122,-44.66120935,57.4968,4.64,3.802,6645,3.329396,254425584,76.16698547,173.0978668,69.1472999869813,4,11.5245499978302
34.26348071,34.2242343,90.845,4.87193,3.076,5608.69,1.226864,63782132,76.02336667,180.311411,13.8716299297459,5,2.88992290203039
176.6294666,-40.50035555,107.621,4.89,3.489,5672,0.8440095,454082369,74.50876779,176.2087103,6.82853561995918,4,1.1380892699932
258.836599,-26.60170005,167.822,5.0514,1.840000033,5121,0.3320436,1277142191,74.49242131,180.8219854,1.36752160472914,5,0.284900334318571
13.26748285,61.12397273,53.1896,4.7942,3.638,6114.22,3.577349,285544488,74.48356854,172.7881172,101.164211633961,4,16.8607019389935
316.7302669,38.74204504,286.146,6.06979,2.544,3948.45,0.1042091,165602023,73.98982226,190.5132955,0.266349626131731,5,0.0554895054441105
271.7566247,30.56210815,63.5358,5.05874,3.107,5947.27,2.44,22516402,73.96675649,172.8062145,51.4775600797035,4,8.57959334661724
258.8374359,-26.60282206,167.776,5.0597,1.840000033,5143,0.3274672,1277142190,73.89403778,179.1769375,1.34790144701442,4,0.224650241169071
202.1075341,13.77878971,55.8347,4.96808,3.5,5495,3.038417,95473936,73.86977621,176.1289091,94.5038239646165,4,15.7506373274361
254.0070398,65.13479616,66.28,4.8861,3.736,6314.1,2.300212393,289622310,73.85485109,169.9476281,40.5322734203343,4,6.75537890338906
76.86252521,18.64504998,62.9467,4.92237,3.208,5725,2.40137,27136704,73.35148396,173.0564133,55.490807792268,4,9.248467965378
157.6565849,55.98053789,77.4346,4.82,3.644,6171.92,1.618647,416519065,72.77585557,168.4252451,22.1433450733415,4,3.69055751222358
247.1172485,-70.08439501,82.1233,4.9,3.661,6077.96,1.361052,362747897,71.03545326,165.0385335,17.4369360267685,4,2.90615600446141
2.816045411,-15.46798354,55.587,4.89,3.821,6191.75,2.996853,289673491,71.03110461,164.2542407,80.1075571304375,4,13.3512595217396
145.5600689,-23.91557058,67.4693,4.93,3.722,6128,1.977474,11310083,70.20702534,162.7742985,37.2414226359725,4,6.20690377266207
265.8574747,-21.68319302,58.3957,4.86,3.877,6435,2.700649,238115675,70.1903114,160.7587162,62.5674415046251,4,10.4279069174375
25.44642976,42.61345653,76.5204,4.96103,3.577,5870,1.499811,327507922,70.0588847,164.2269879,23.7092358577805,4,3.95153930963008
198.5631081,-59.10323688,55.0143,4.9,3.611,6231.44,2.966425,255854921,69.83463133,161.22778,81.597168598676,4,13.5995280997793
18.79634417,-45.53166878,65.8894,4.97,3.782,6119.03,2.003603,229092427,69.03871653,160.1250946,40.3376178419187,4,6.72293630698645
92.56030883,-74.75304544,97.8983,5.08,3.446,5589.55,0.8655499,141810080,68.865988,163.47947,9.30792876368048,4,1.55132146061341
332.5365847,-32.54840986,54.4879,4.94,3.704,6272,2.917845,97402436,68.49146553,157.8695874,82.733679157222,4,13.7889465262037
302.7997437,-36.10120932,166.227,5.2736,3.00999999,5044,0.2830888,1991380115,68.33025537,166.4915239,1.31342257495979,4,0.218903762493298
25.62401456,20.26851674,131.49,5.25221,3.285,5190,0.4535097,113710966,68.0279125,164.5760958,3.14890507609308,4,0.52481751268218
164.8665578,40.43025622,72.4528,5.03352,3.75,5872,1.576894,21535479,68.01257993,159.4162232,28.5897138387192,4,4.7649523064532
226.8252745,24.86919312,51.6674,4.9255,3.863,6528.24,3.254899,229902025,67.94985338,155.08204,97.3473615597723,4,16.224560259962
230.80134,30.287841,53.7,4.99314,3.714,6028.7,2.890477384,284292958,67.82273346,157.9016345,90.6022158422137,4,15.1003693070356
81.10609574,17.38353586,68.5628,4.99587,4.038,6136.4,1.77772,47346402,67.62335767,156.7296387,33.7034809744346,4,5.61724682907243
266.0362651,-51.83405307,64.0817,5.12,3.683,5771.56,1.898801,362661163,66.27710287,156.0399159,46.2660601916331,4,7.71101003193884
147.1473804,46.02100938,52.8994,5.08503,3.609,5872,2.795413,23969522,66.11599857,154.9707833,96.6499657164484,4,16.1083276194081
291.242501,11.94441175,66.848,5.17089,3.037,5587,1.709948,359981217,66.10102029,156.9342104,40.5315495066173,4,6.75525825110289
302.800225,-36.101507,165.24,5.32,3.008,4977.19,0.259717754,389198736,65.22534724,159.450935,1.30049905908035,4,0.216749843180059
117.942894,-13.898045,59.98,5.15895,3.73,5816.81,2.05117,54137341,64.35829226,151.2178541,57.9902436717738,4,9.66504061196229
94.11091158,12.27216415,51.193,5.03975,4.245,6525,2.956507,437886584,64.17312229,146.4800254,96.5129842577848,4,16.0854973762975
348.3207282,57.16835459,153.081,5.56911,3.261,4884.29,0.2888785,283722336,63.94917632,157.0536824,1.75763040253961,4,0.292938400423269
297.756849,10.41572088,51.1912,5.11688,3.902,6119.81,2.834792,408842743,63.79901498,147.9675942,102.164240359752,4,17.0273733932921
118.0652617,-34.70544383,54.7755,5.01,3.841,6525,2.536679,150796339,63.60221504,145.1768862,73.3287690144263,4,12.2214615024044
138.5855724,61.4233205,50.8675,5.19205,3.782,5910.2,2.775732,86177169,63.25522215,148.0184991,107.721684697883,4,17.9536141163138
125.0160862,27.21770733,54.864,5.13228,3.868,6265,2.425416,302188141,62.89290624,145.0057307,75.0336255582934,4,12.5056042597156
224.3666704,-21.4154797,170.011,5.72,3.048,4680.94,0.2225217,287157634,62.79188726,155.7897446,1.21357132099987,4,0.202261886833312
175.2625664,34.20163403,104.39,5.29853,3.588,5502,0.6254202,101641846,62.64139745,149.3080769,6.6906288096,4,1.1151048016
271.3644259,2.498950977,195.217,5.9306,2.289999962,4360,0.1643303,1674663308,62.62949968,157.9287473,0.78547968016179,4,0.130913280026965
49.55341079,-62.50636587,83.0122,5.24,3.86,5866.4,1.017061,279649049,62.59591144,146.755974,15.4496476251446,4,2.57494127085743
199.1938173,9.424157558,57.0186,5.18799,4.033,6029.19,2.176381,397587084,62.4873057,145.4769283,66.5251160475491,4,11.0875193412582
116.395779,-34.17254,65.79,5.36,3.75,5744.47,1.590634032,149672905,62.3461761,146.9631894,39.5994162348057,4,6.59990270580094
12.53161911,-10.64432912,62.9723,5.16945,4.015,6270.16,1.780543,3962869,61.8388622,142.5461255,42.8313139135146,4,7.13855231891911
262.5991662,-1.063021631,60.7132,5.9761,3.819999933,5100,1.73862,508550949,61.71675215,149.9644567,61.8197849526516,4,10.3032974921086
262.5989991,-1.062741967,61.19,5.31306,3.822,5641,1.73862,164139204,60.87845959,144.1773568,52.6721421740956,4,8.77869036234927
143.9145908,35.81013444,89.2581,5.39549,3.69,5499,0.796688,8915802,60.45897667,144.1263853,12.0419305823185,4,2.00698843038641
101.6847398,43.5774286,60.067,5.25724,4.132,6039,1.826735,307754027,60.28549868,140.292656,52.4597516010484,4,8.74329193350807
263.7483192,61.87455458,70.98,5.23181,3.744,5965.12,1.279713141,219777482,59.80067326,139.603161,27.1960181832909,4,4.53266969721515
336.6429171,-16.74158888,51.5079,6.3822,4.102000237,5806,2.392255674,2024022192,59.71233715,140.3688222,99.4075988679576,4,16.5679331446596
9.336278,-24.76733,64.38,5.57,4.027,5249.86,1.45610853,246895813,59.54283767,143.6320345,45.7063949862656,4,7.61773249771094
284.2568128,32.90131137,66.5742,5.21809,3.655,5997.84,1.442434,20601206,59.47054815,138.6382033,34.7298403602296,4,5.78830672670493
150.2527366,31.92367135,66.9958,5.37988,3.821,5742,1.369586,172954294,58.91832072,138.898401,35.0862471841666,4,5.84770786402777
116.3954964,-34.17257877,65.1134,5.3103,3.75,5931,1.469251,773262373,58.86050275,137.6106109,38.0189671831329,4,6.33649453052215
260.1648647,32.46774369,68.7539,5.3917,3.911,5817,1.290046,9728611,58.50511452,137.4639251,31.0674840811668,4,5.1779140135278
17.067652,54.920339,132.4,5.17551,3.505,5316,0.333671535,252191219,58.46475351,140.5839903,2.55352757992369,4,0.425587929987282
259.7659897,-46.6362337,113.816,5.47,3.421,5380,0.4516352,217157387,58.32273204,139.8152794,4.55922125581669,4,0.759870209302782
246.0053775,-39.19298184,77.4716,5.37,3.933,5873.47,1.000781,350673608,57.9320946,135.7796068,19.0059279317602,4,3.16765465529336
240.2610867,33.30351174,57.2216,5.40816,3.857,5833,1.812064,458494003,57.67143893,135.4093318,63.4304566138252,4,10.5717427689709
334.565056,-53.62707399,71.3429,5.36,3.913,5855.88,1.163426,231267777,57.56179713,135.0158204,26.3022377759131,4,4.38370629598551
39.02042704,6.886786915,138.208,5.7801,3.481,4828.39,0.2827242,278962915,57.23504364,140.9567945,2.36778361385668,4,0.394630602309446
12.09573469,5.280613897,134.499,5.74452,3.683,4937,0.3002223,257393898,57.1670658,140.0300644,2.56031114785073,4,0.426718524641788
344.3665851,20.7688284,64.6488,5.45309,3.911,5758,1.368704,139298196,56.79926816,133.8067966,39.1018795614136,3,4.8877349451767
40.63944368,-50.80029339,57.7143,5.4,4.138,6146.14,1.737211,166853853,56.24983625,130.3170145,57.3599122938413,3,7.16998903673017
180.1852548,-10.44612639,78.7565,5.55146,4.027,5506,0.8823622,152738837,56.12502226,133.7510851,18.491796506238,3,2.31147456327975
60.65310478,-0.26892184,53.273,5.37914,4.181,6221,2.023938,9150015,55.88027192,129.0656645,77.6310751129627,3,9.70388438912034
303.8224652,-27.032976,113.648,5.73,3.501,5071,0.4040288,326096771,55.75317481,135.6664214,4.70053290102762,4,0.783422150171271
26.93680679,63.85250203,99.5746,5.62847,4.014,5344,0.5360708,373694425,55.67025425,133.6853978,7.47243774178056,3,0.93405471772257
49.44234713,-62.57532058,83.0626,5.53,3.994,5743.62,0.7943885,279649057,55.62905803,131.1345156,14.2518705468778,3,1.78148381835972
71.90121567,-16.93445609,75.5213,5.49,3.999,5834,0.9662347,117979951,55.5785627,130.4896171,20.4782617574859,3,2.55978271968573
243.9052932,-8.36943947,70.7675,5.49518,4.186,5791,1.094095,135656809,55.51501785,130.5889524,26.6699337625335,3,3.33374172031669
24.94922141,-56.19331945,122.055,5.76,3.558,5020.22,0.3453673,231005905,55.46761881,135.3091854,3.57131450439957,3,0.446414313049946
272.6089632,-62.00223869,56.328,5.47,4.13,5952.64,1.73143,303704858,55.22768355,128.9968529,64.0871928389142,3,8.01089910486427
101.5589542,79.56481016,54.9292,5.44439,4.141,6145,1.825788,141523112,54.88571005,127.1626455,68.5943687978154,3,8.57429609972692
39.020367,6.88687,138.72,5.82631,3.450000048,4760,0.246718551,471011360,53.79744838,132.9450811,2.23365677806467,3,0.279207097258084
105.9888135,-43.60803378,58.6411,5.56,4.037,5808.38,1.489692,130645536,53.64078387,126.0828056,54.6334304384383,3,6.82917880480479
108.9589134,47.2399655,59.287,5.55931,4.115,5888,1.462795,156890613,53.56795092,125.4713342,51.6374522985551,3,6.45468153731938
25.62214534,-53.74083088,57.6556,5.52,4.34,6150.97,1.550139,229137615,53.07092465,122.9278008,55.2594094609199,3,6.90742618261499
259.0556781,-26.5461481,168.069,6.33,3.466,4384.89,0.157497,79841001,52.74510098,132.8361279,1.1496991516922,3,0.143712393961525
327.0656294,-47.30361669,64.264,5.57,4.236,5935.88,1.206916,147407292,52.64136204,123.0448469,36.7719623155983,3,4.59649528944979
249.089372,-2.324586774,100.811,5.76162,4.039,5293.42,0.4621579,58092025,52.43703814,126.2262975,6.82676983648913,3,0.853346229561142
119.4454773,-60.30306988,61.7309,5.59,4.242,5971.07,1.290002,372914091,52.20457292,121.839135,42.6787763073454,3,5.33484703841817
230.4506297,-48.31762847,68.0818,5.65,4.159,5739,1.028941,136916387,51.90235013,122.3749162,29.7926030327255,3,3.72407537909068
24.9481872,-56.19644756,122.133,5.76,3.51,5107.22,0.3038823,231005052,51.88985513,126.0416997,3.29211625523682,3,0.411514531904602
300.9058538,29.89680426,62.4443,5.738,4.076,5549,1.165388,105999792,51.05312378,121.4212167,42.7380417588858,3,5.34225521986073
129.798768,65.02090785,69.2004,5.631,4.173,5866,0.9731887,417762326,51.04399504,119.6746305,27.0854026667737,3,3.38567533334672
84.291188,-80.4691198,54.7052,5.65,4.241,5992.1,1.533086,261136679,50.39169786,117.5022963,67.1448835354192,3,8.3931104419274
223.3490315,19.15279653,86.69,6.00871,4.316,5258,0.572979069,267365256,50.27832864,121.2361693,12.0754240307488,3,1.5094280038436
9.840856298,21.25047668,89.7891,5.88437,3.999,5274.92,0.531926,434210589,50.14202069,120.8090546,10.4494148210085,3,1.30617685262607
298.5739387,-23.94107305,70.8873,6.22,4.043,4600,0.7988219,241967968,49.745519,123.925522,30.6959375343181,3,3.83699219178976
94.31720789,5.099976564,51.8027,5.71202,4.205,5928.24,1.643757,265361101,49.53643527,115.8256053,83.1258732604925,3,10.3907341575616
317.343163,-73.17325802,50.59,5.67,4.187,5294,1.61902,311430135,49.25109143,118.5537956,100.005600265019,3,12.5007000331274
173.6228596,-32.83133899,104.783,5.96,4.022,5140,0.3699607,57611256,49.05856156,118.9737272,5.71229397983794,3,0.714036747479743
103.8277779,25.3756955,57.2425,5.76238,4.293,5913,1.293243,80226651,48.58219928,113.6695029,55.3352492272833,3,6.91690615341041
133.1492139,28.33082136,79.4274,5.95084,4.015,5250,0.6354026,332064670,48.5259593,117.0558118,16.6422181872988,3,2.08027727341235
279.7225063,-21.05187264,76.6355,5.85,4.227,5636,0.684496,1544160,47.85023527,113.3487456,17.8477264946333,3,2.23096581182916
11.43997069,-47.55198514,66.6937,5.8,4.298,5916.54,0.9233501,80431620,47.82169299,111.8729266,29.8354423077687,3,3.72943028847109
301.0259204,17.07018817,56.4256,5.794,4.388,5940,1.27598,275240386,47.51682701,111.0469021,57.5827184634749,3,7.19783980793436
236.0075789,2.51516688,67.7057,5.86,4.297,5676.89,0.8609752,459427073,47.33380311,111.9167073,28.8191659018888,3,3.6023957377361
124.599779,-12.6321695,79.5945,5.96004,4.165,5387,0.6075038,307624961,47.29082106,113.3311673,15.8181002215055,3,1.97726252768819
75.20416315,-5.753672501,113.024,6.23036,3.706,4930.93,0.2902331,213041474,47.24414233,115.7588419,4.28128011367471,3,0.535160014209339
43.13386744,-12.76971407,96.54,6.04986,4.167,5224.84,0.4009418,30016911,46.89825901,113.2669641,7.51222891754681,3,0.939028614693351
344.1002221,-31.5655653,131.438,6.48,3.805,4617.31,0.1963484,206686962,45.70214881,113.7533345,2.46235579172257,3,0.307794473965321
86.1105704,-22.4218373,112.4,6.172,4.131,5250,0.2796302,93279196,45.5551664,109.8895738,4.01660673194576,3,0.50207584149322
32.60799609,-50.8237409,92.7042,6.12,4.125,5188.5,0.4080032,220017951,45.49438144,110.0700078,8.67993939981699,3,1.08499242497712
222.5658782,23.91184256,54.9068,5.89202,4.458,6030,1.244053,198304072,45.49246078,105.9075338,61.8957690201559,3,7.73697112751949
61.33441015,22.00890443,59.1895,5.903,4.381,5848,1.05278,15736408,45.44282601,106.6267323,46.8723510625885,3,5.85904388282357
214.7537319,-25.81542556,55.5509,5.87,4.512,6152,1.208327,83391616,45.14355544,104.5612596,58.0722532927664,3,7.2590316615958
304.3805345,66.85368932,57.2564,5.92922,4.451,5934.55,1.111287,403585118,45.00710642,105.2064514,52.645928120266,3,6.58074101503325
87.14558394,-4.094644316,65.5534,5.96,4.405,5735,0.8268405,176521059,44.80608782,105.6623966,31.4045037889989,3,3.92556297362486
236.8712528,-37.91631175,65.5328,6.01,4.323,5586.72,0.8168817,179348425,44.7890149,106.3375324,32.0503890700319,3,4.00629863375398
0.543088081,27.08179911,79.0696,5.6953,4.070000172,5570,0.559188824,611726941,44.74197,106.3078312,15.2213275590762,3,1.90266594488453
105.876912,29.33708242,52.7681,5.94874,4.539,5886,1.28597,91686663,44.70700325,104.7256251,72.9488541092948,3,9.11860676366185
191.2475211,39.2789162,56.9309,5.956,4.465,5911,1.091918,389853353,44.40136973,103.896492,53.5832546868483,3,6.69790683585603
1.653267044,29.02150289,72.5764,6.1,4.314,5489,0.6472669,238432056,44.3282757,105.7222817,21.5080967158932,3,2.68851208948665
271.5988297,-36.01978596,58.1258,5.94,4.469,5923.19,1.043707,329574145,44.29957422,103.603486,49.2045070174023,3,6.15056337717529
137.2127939,33.88221892,52.5197,5.95467,4.545,5984,1.267423,355127594,44.00176676,102.6379161,72.8711275022233,3,9.10889093777791
133.5747791,-5.434457358,59.3469,6.00804,4.456,5776.65,0.9711944,62569281,43.88859462,103.3059232,45.8339465125986,3,5.72924331407482
326.1305416,14.77193953,55.1631,5.97707,4.559,5927.14,1.135527,301880196,43.8449983,102.5228257,60.206430961478,3,7.52580387018474
85.3347322,53.4810585,81.43,6.22156,4.272,5249,0.4776798,311063391,43.13693239,104.0612539,13.8544318711009,3,1.73180398388762
301.3865218,-67.32089691,55.8197,6.074,4.511,5725.87,1.035745,352402781,42.71742359,100.7782552,57.9254726388917,3,7.24068407986146
238.3004041,13.19662297,57.583,6.099,4.527,5829,0.9568159,172607904,42.17862824,99.05056211,50.2391820682433,3,6.27989775853041
272.4059012,38.4577767,90.1264,6.39435,4.232,4970,0.3630343,75946144,42.0720637,102.8866428,9.52956929556662,3,1.19119616194583
286.7186013,-37.81065911,59.0802,6.15,4.539,5625.03,0.8780776,254147274,41.79935258,99.06499193,46.2095756707182,3,5.77619695883978
